pathway,ontology,frozen,locus,symbol,description,probe,added_rev3,reason
Quorum sensing and biofilm,curated,2026-09-08,PA3361,lecB,hypothetical protein ,PA3361_at,,
Quorum sensing and biofilm,curated,2026-09-08,PA3540,algD,GDP-mannose 6-dehydrogenase AlgD ,PA3540_algD_at,,
Quorum sensing and biofilm,curated,2026-09-08,PA3541,alg8,alginate biosynthesis protein Alg8 ,PA3541_at,,
Quorum sensing and biofilm,curated,2026-09-08,PA3542,alg44,alginate biosynthesis protein Alg44 ,PA3542_at,,
Quorum sensing and biofilm,curated,2026-09-08,PA3543,algK,alginate biosynthetic protein AlgK precursor ,PA3543_algK_at,,
Quorum sensing and biofilm,curated,2026-09-08,PA3544,algE,outer membrane protein AlgE ,PA3544_algE_at,,
Quorum sensing and biofilm,curated,2026-09-08,PA3545,algG,alginate-c5-mannuronan-epimerase AlgG ,PA3545_algG_at,,
Quorum sensing and biofilm,curated,2026-09-08,PA3546,algX,alginate biosynthesis protein AlgX ,PA3546_algX_at,,
Quorum sensing and biofilm,curated,2026-09-08,PA3547,algL,poly(beta-d-mannuronate) lyase precursor AlgL ,PA3547_algL_at,,
Quorum sensing and biofilm,curated,2026-09-08,PA3548,algI,alginate o-acetyltransferase AlgI ,PA3548_algI_at,,
Anaerobic respiration,curated,2026-09-08,PA5171,arcA,arginine deiminase ,PA5171_arcA_at,,
Quorum sensing and biofilm,curated,2026-09-08,PA3550,algF,alginate o-acetyltransferase AlgF ,PA3550_algF_at,,
Quorum sensing and biofilm,curated,2026-09-08,PA3551,algA,phosphomannose isomerase ,PA3551_algA_at,,
Quorum sensing and biofilm,curated,2026-09-08,PA5322,algC,phosphomannomutase AlgC ,PA5322_algC_at,,
Quorum sensing and biofilm,curated,2026-09-08,PA5261,algR,alginate biosynthesis regulatory protein AlgR ,PA5261_algR_at,,
Quorum sensing and biofilm,curated,2026-09-08,PA5262,algZ,alginate biosynthesis protein AlgZ,PA5262_algZ_at,,
Quorum sensing and biofilm,curated,2026-09-08,PA5253,algP,alginate regulatory protein AlgP ,PA5253_algP_at,,
Quorum sensing and biofilm,curated,2026-09-08,PA5255,algQ,Alginate regulatory protein AlgQ ,PA5255_algQ_at,,
Quorum sensing and biofilm,curated,2026-09-08,PA4446,algW,AlgW protein ,PA4446_algW_at,,
Quorum sensing and biofilm,curated,2026-09-08,PA0764,mucB,negative regulator for alginate biosynthesis MucB ,PA0764_mucB_at,,
Quorum sensing and biofilm,curated,2026-09-08,PA0765,mucC,positive regulator for alginate biosynthesis MucC ,PA0765_mucC_at,,
Quorum sensing and biofilm,curated,2026-09-08,PA0766,mucD,serine protease MucD precursor ,PA0766_mucD_at,,
Quorum sensing and biofilm,curated,2026-09-08,PA3549,algJ,alginate o-acetyltransferase AlgJ ,PA3549_algJ_at,,
Quorum sensing and biofilm,curated,2026-09-08,PA1432,lasI,autoinducer synthesis protein LasI ,PA1432_lasI_at,,
Quorum sensing and biofilm,curated,2026-09-08,PA1430,lasR,transcriptional regulator LasR ,PA1430_lasR_at,,
Quorum sensing and biofilm,curated,2026-09-08,PA3476,rhlI,autoinducer synthesis protein RhlL ,PA3476_rhlL_at,,
Quorum sensing and biofilm,curated,2026-09-08,PA3477,rhlR,transcriptional regulator RhlR ,PA3477_rhlR_at,,
Quorum sensing and biofilm,curated,2026-09-08,PA0996,pqsA,probable coenzyme A ligase ,PA0996_at,,
Quorum sensing and biofilm,curated,2026-09-08,PA0997,pqsB,hypothetical protein ,PA0997_at,,
Quorum sensing and biofilm,curated,2026-09-08,PA0998,pqsC,hypothetical protein ,PA0998_at,,
Quorum sensing and biofilm,curated,2026-09-08,PA0999,pqsD,3-oxoacyl-[acyl-carrier-protein] synthase III ,PA0999_fabH1_at,,
Quorum sensing and biofilm,curated,2026-09-08,PA1000,pqsE,hypothetical protein ,PA1000_at,,
Quorum sensing and biofilm,curated,2026-09-08,PA2587,pqsH,probable FAD-dependent monooxygenase ,PA2587_at,,
Quorum sensing and biofilm,curated,2026-09-08,PA2570,pa1L,PA-I galactophilic lectin ,PA2570_pa1L_at,,
Quorum sensing and biofilm,curated,2026-09-08,PA1431,rsaL,regulatory protein RsaL ,PA1431_rsaL_at,,
Quorum sensing and biofilm,curated,2026-09-08,PA1898,qscR,probable transcriptional regulator ,PA1898_at,,
Quorum sensing and biofilm,curated,2026-09-08,PA4210,phzA1 /// phzA2,probable phenazine biosynthesis protein ,PA4210_s_at,,
Quorum sensing and biofilm,curated,2026-09-08,PA4211,phzB1 /// phzB2,probable phenazine biosynthesis protein ,PA4211_g_at,,
Quorum sensing and biofilm,curated,2026-09-08,PA1901,phzC1 /// phzC2,phenazine biosynthesis protein PhzC ,PA1901_s_at,,
Quorum sensing and biofilm,curated,2026-09-08,PA1902,phzD1 /// phzD2,phenazine biosynthesis protein PhzD ,PA1902_s_at,,
Quorum sensing and biofilm,curated,2026-09-08,PA1903,phzE1 /// phzE2,phenazine biosynthesis protein PhzE ,PA1903_s_at,,
Quorum sensing and biofilm,curated,2026-09-08,PA1904,phzF1 /// phzF2,probable phenazine biosynthesis protein ,PA1904_s_at,,
Quorum sensing and biofilm,curated,2026-09-08,PA1905,phzG2,probable pyridoxamine 5'-phosphate oxidase ,PA1905_s_at,,
Quorum sensing and biofilm,curated,2026-09-08,PA4209,phzM,probable O-methyltransferase ,PA4209_at,,
Quorum sensing and biofilm,curated,2026-09-08,PA0051,phzH,probable glutamine amidotransferase ,PA0051_at,,
Quorum sensing and biofilm,curated,2026-09-08,PA1003,mvfR,probable transcriptional regulator ,PA1003_at,,
Iron uptake and storage,curated,2026-09-08,PA0151,---,probable TonB-dependent receptor ,PA0151_at,,
Iron uptake and storage,curated,2026-09-08,PA0192,---,probable TonB-dependent receptor ,PA0192_at,,
Iron uptake and storage,curated,2026-09-08,PA1271,---,probable tonB-dependent receptor ,PA1271_at,,
Iron uptake and storage,curated,2026-09-08,PA1322,---,probable TonB-dependent receptor ,PA1322_at,,
Iron uptake and storage,curated,2026-09-08,PA1910,---,probable tonB-dependent receptor protein ,PA1910_at,,
Iron uptake and storage,curated,2026-09-08,PA1922,---,probable TonB-dependent receptor ,PA1922_at,,
Iron uptake and storage,curated,2026-09-08,PA4230,pchB,salicylate biosynthesis protein PchB ,PA4230_pchB_at,,
Iron uptake and storage,curated,2026-09-08,PA4231,pchA,salicylate biosynthesis isochorismate synthase ,PA4231_pchA_at,,
Iron uptake and storage,curated,2026-09-10,PA2392,pvdP,hypothetical protein ,PA2392_at,yes,"pvdP, pyoverdine biosynthesis"
Iron uptake and storage,curated,2026-09-10,PA2394,pvdN,probable aminotransferase ,PA2394_at,yes,"pvdN, pyoverdine biosynthesis"
Iron uptake and storage,curated,2026-09-08,PA4228,pchD,pyochelin biosynthesis protein PchD ,PA4228_pchD_at,,
Iron uptake and storage,curated,2026-09-10,PA2400,pvdJ,probable non-ribosomal peptide synthetase ,PA2400_at,yes,"pvdJ, pyoverdine biosynthesis"
Iron uptake and storage,curated,2026-09-10,PA2413,pvdH,probable class III aminotransferase ,PA2413_at,yes,"pvdH, pyoverdine biosynthesis"
Iron uptake and storage,curated,2026-09-10,PA2424,pvdL,probable non-ribosomal peptide synthetase ,PA2424_at,yes,"pvdL, pyoverdine biosynthesis"
Iron uptake and storage,curated,2026-09-10,PA2425,pvdG,probable thioesterase ,PA2425_at,yes,"pvdG, pyoverdine biosynthesis"
Iron uptake and storage,curated,2026-09-10,PA3901,fecA,Fe(III) dicitrate transport protein FecA ,PA3901_fecA_at,yes,"fecA, ferric dicitrate transport"
Iron uptake and storage,curated,2026-09-10,PA4688,hitB,iron (III)-transport system permease HitB ,PA4688_hitB_at,yes,"hitB, iron(III) transport permease"
Iron uptake and storage,curated,2026-09-10,PA0198,exbB1,transport protein ExbB ,PA0198_exbB1_at,yes,"exbB1, energizes TonB-dependent transport"
Iron uptake and storage,curated,2026-09-10,PA0199,exbD1,transport protein ExbD ,PA0199_exbD1_at,yes,"exbD1, energizes TonB-dependent transport"
Iron uptake and storage,curated,2026-09-10,PA0693,exbB2,transport protein ExbB2 ,PA0693_exbB2_at,yes,"exbB2, energizes TonB-dependent transport"
Iron uptake and storage,curated,2026-09-10,PA0694,exbD2,transport protein ExbD ,PA0694_exbD2_at,yes,"exbD2, energizes TonB-dependent transport"
Oxidative stress response,curated,2026-09-10,PA2850,ohr,organic hydroperoxide resistance protein ,PA2850_ohr_at,yes,"ohr, organic hydroperoxide resistance"
Iron uptake and storage,curated,2026-09-10,PA2395,pvdO,hypothetical protein ,PA2395_at,yes,"pvdO, pyoverdine biosynthesis"
Iron uptake and storage,curated,2026-09-08,PA4226,pchE,dihydroaeruginoic acid synthetase ,PA4226_pchE_at,,
Iron uptake and storage,curated,2026-09-08,PA4225,pchF,pyochelin synthetase ,PA4225_pchF_at,,
Iron uptake and storage,curated,2026-09-08,PA4224,pchG,hypothetical protein ,PA4224_at,,
Iron uptake and storage,curated,2026-09-08,PA4227,pchR,transcriptional regulator PchR ,PA4227_pchR_at,,
Iron uptake and storage,curated,2026-09-08,PA2398,fpvA,ferripyoverdine receptor ,PA2398_fpvA_at,,
Iron uptake and storage,curated,2026-09-08,PA4221,fptA,Fe(III)-pyochelin receptor precursor ,PA4221_fptA_at,,
Iron uptake and storage,curated,2026-09-08,PA2426,pvdS,sigma factor PvdS ,PA2426_pvdS_at,,
Iron uptake and storage,curated,2026-09-08,PA4159,fepB,ferrienterobactin-binding periplasmic protein precursor FepB ,PA4159_fepB_at,,
Iron uptake and storage,curated,2026-09-08,PA4158,fepC,ferric enterobactin transport protein FepC ,PA4158_fepC_at,,
Iron uptake and storage,curated,2026-09-08,PA4160,fepD,ferric enterobactin transport protein FepD ,PA4160_fepD_at,,
Iron uptake and storage,curated,2026-09-08,PA4161,fepG,ferric enterobactin transport protein FepG ,PA4161_fepG_at,,
Iron uptake and storage,curated,2026-09-08,PA5531,tonB,TonB protein ,PA5531_tonB_at,,
Iron uptake and storage,curated,2026-09-08,PA0931,---,siderophore receptor protein ,PA0931_at,,
Iron uptake and storage,curated,2026-09-08,PA1365,---,probable siderophore receptor ,PA1365_at,,
Iron uptake and storage,curated,2026-09-08,PA3407,hasAp,heme acquisition protein HasAp ,PA3407_hasAp_at,,
Iron uptake and storage,curated,2026-09-08,PA3408,hasR,heme acquisition protein HasR ,PA3408_hasR_at,,
Iron uptake and storage,curated,2026-09-08,PA4710,phuR,probable outer membrane hemin receptor ,PA4710_at,,
Iron uptake and storage,curated,2026-09-08,PA0672,hemO,hypothetical protein ,PA0672_at,,
Iron uptake and storage,curated,2026-09-08,PA1302,---,probable heme utilization protein precursor ,PA1302_at,,
Iron uptake and storage,curated,2026-09-08,PA4358,---,probable ferrous iron transport protein ,PA4358_at,,
Iron uptake and storage,curated,2026-09-08,PA4687,hitA,ferric iron-binding periplasmic protein HitA ,PA4687_hitA_at,,
Iron uptake and storage,curated,2026-09-08,PA5216,---,probable permease of ABC iron transporter ,PA5216_at,,
Iron uptake and storage,curated,2026-09-08,PA5217,---,probable binding protein component of ABC iron transporter ,PA5217_at,,
Iron uptake and storage,curated,2026-09-08,PA0470,---,probable hydroxamate-type ferrisiderophore receptor ,PA0470_at,,
Quorum sensing and biofilm,curated,2026-09-10,PA2239,pslI,probable transferase ,PA2239_at,yes,"psl operon, biofilm exopolysaccharide"
Quorum sensing and biofilm,curated,2026-09-10,PA2238,pslH,hypothetical protein ,PA2238_at,yes,"psl operon, biofilm exopolysaccharide"
Quorum sensing and biofilm,curated,2026-09-10,PA2237,pslG,probable glycosyl hydrolase ,PA2237_at,yes,"psl operon, biofilm exopolysaccharide"
Quorum sensing and biofilm,curated,2026-09-10,PA2236,pslF,hypothetical protein ,PA2236_at,yes,"psl operon, biofilm exopolysaccharide"
Quorum sensing and biofilm,curated,2026-09-10,PA2235,pslE,hypothetical protein ,PA2235_at,yes,"psl operon, biofilm exopolysaccharide"
Quorum sensing and biofilm,curated,2026-09-10,PA2234,pslD,probable exopolysaccharide transporter ,PA2234_at,yes,"psl operon, biofilm exopolysaccharide"
Quorum sensing and biofilm,curated,2026-09-10,PA2233,pslC,probable glycosyl transferase ,PA2233_at,yes,"psl operon, biofilm exopolysaccharide"
Iron uptake and storage,curated,2026-09-08,PA4229,pchC,pyochelin biosynthetic protein PchC ,PA4229_pchC_at,,
Quorum sensing and biofilm,curated,2026-09-10,PA2231,pslA,probable glycosyl transferase ,PA2231_at,yes,"psl operon, biofilm exopolysaccharide"
Anaerobic respiration,curated,2026-09-10,PA3877,narK1,nitrite extrusion protein 1 ,PA3877_narK1_at,yes,"narK1, nitrite extrusion"
Quorum sensing and biofilm,curated,2026-09-10,PA2232,pslB,probable phosphomannose isomerase,PA2232_at,yes,"psl operon, biofilm exopolysaccharide"
Anaerobic respiration,curated,2026-09-10,PA3393,nosD,NosD protein ,PA3393_nosD_at,yes,"nosD, nitrous oxide reductase accessory"
Anaerobic respiration,curated,2026-09-10,PA3391,nosR,regulatory protein NosR ,PA3391_nosR_at,yes,"nosR, nitrous oxide reductase accessory"
Anaerobic respiration,curated,2026-09-10,PA1172,napC,cytochrome c-type protein NapC ,PA1172_napC_at,yes,"napC, periplasmic nitrate reductase subunit"
Anaerobic respiration,curated,2026-09-10,PA1173,napB,cytochrome c-type protein NapB precursor ,PA1173_napB_at,yes,"napB, periplasmic nitrate reductase subunit"
Iron uptake and storage,curated,2026-09-08,PA2396,pvdF,hypothetical protein ,PA2396_at,,
Iron uptake and storage,curated,2026-09-08,PA2397,pvdE,pyoverdine biosynthesis protein PvdE ,PA2397_pvdE_at,,
Iron uptake and storage,curated,2026-09-08,PA2399,pvdD,pyoverdine synthetase D ,PA2399_pvdD_at,,
Iron uptake and storage,curated,2026-09-08,PA2386,pvdA,L-ornithine N5-oxygenase ,PA2386_pvdA_at,,
Quorum sensing and biofilm,curated,2026-09-10,PA4217,phzS,probable FAD-dependent monooxygenase ,PA4217_at,yes,"phzS, phenazine modification"
Iron uptake and storage,curated,2026-09-08,PA2688,pfeA,ferric enterobactin receptor precursor PfeA ,PA2688_pfeA_at,,
Oxidative stress response,curated,2026-09-10,PA5018,msrA,peptide methionine sulfoxide reductase ,PA5018_msrA_at,yes,"msrA, peptide methionine sulfoxide reductase"
Anaerobic respiration,curated,2026-09-10,PA3876,narK2,nitrite extrusion protein 2 ,PA3876_narK2_at,yes,"narK2, nitrite extrusion"
Iron uptake and storage,curated,2026-09-08,PA4514,---,probable outer membrane receptor for iron transport ,PA4514_at,,
Iron uptake and storage,curated,2026-09-08,PA4168,---,probable TonB-dependent receptor ,PA4168_at,,
Iron uptake and storage,curated,2026-09-08,PA4156,---,probable TonB-dependent receptor ,PA4156_at,,
Iron uptake and storage,curated,2026-09-08,PA3268,---,probable TonB-dependent  receptor ,PA3268_at,,
Iron uptake and storage,curated,2026-09-08,PA2911,---,probable TonB-dependent receptor ,PA2911_at,,
Iron uptake and storage,curated,2026-09-08,PA2466,---,probable TonB-dependent receptor ,PA2466_at,,
Iron uptake and storage,curated,2026-09-08,PA2385,pvdQ,probable acylase ,PA2385_at,,
Quorum sensing and biofilm,curated,2026-09-10,PA5483,algB,two-component response regulator AlgB ,PA5483_algB_at,yes,"algB, alginate response regulator"
Quorum sensing and biofilm,curated,2026-09-10,PA0763,mucA,anti-sigma factor MucA ,PA0763_mucA_at,yes,"mucA, anti-sigma factor"
Quorum sensing and biofilm,curated,2026-09-10,PA0762,algU,sigma factor AlgU ,PA0762_algU_at,yes,"algU, alginate sigma factor"
Quorum sensing and biofilm,curated,2026-09-10,PA2240,pslJ,hypothetical protein ,PA2240_at,yes,"psl operon, biofilm exopolysaccharide"
Quorum sensing and biofilm,curated,2026-09-10,PA3063,pelB,hypothetical protein ,PA3063_at,yes,"pel operon, biofilm exopolysaccharide"
Quorum sensing and biofilm,curated,2026-09-10,PA3062,pelC,hypothetical protein ,PA3062_at,yes,"pel operon, biofilm exopolysaccharide"
Quorum sensing and biofilm,curated,2026-09-10,PA3061,pelD,hypothetical protein ,PA3061_at,yes,"pel operon, biofilm exopolysaccharide"
Quorum sensing and biofilm,curated,2026-09-10,PA3060,pelE,hypothetical protein ,PA3060_at,yes,"pel operon, biofilm exopolysaccharide"
Quorum sensing and biofilm,curated,2026-09-10,PA3059,pelF,hypothetical protein ,PA3059_at,yes,"pel operon, biofilm exopolysaccharide"
Quorum sensing and biofilm,curated,2026-09-10,PA3058,pelG,hypothetical protein ,PA3058_at,yes,"pel operon, biofilm exopolysaccharide"
Quorum sensing and biofilm,curated,2026-09-10,PA2245,pslO,hypothetical protein ,PA2245_at,yes,"psl operon, biofilm exopolysaccharide"
Quorum sensing and biofilm,curated,2026-09-10,PA2244,pslN,hypothetical protein ,PA2244_at,yes,"psl operon, biofilm exopolysaccharide"
Quorum sensing and biofilm,curated,2026-09-10,PA2243,pslM,hypothetical protein ,PA2243_at,yes,"psl operon, biofilm exopolysaccharide"
Quorum sensing and biofilm,curated,2026-09-10,PA2242,pslL,hypothetical protein ,PA2242_at,yes,"psl operon, biofilm exopolysaccharide"
Quorum sensing and biofilm,curated,2026-09-10,PA2241,pslK,hypothetical protein ,PA2241_at,yes,"psl operon, biofilm exopolysaccharide"
Quorum sensing and biofilm,curated,2026-09-10,PA3064,pelA,hypothetical protein ,PA3064_at,yes,"pel operon, biofilm exopolysaccharide"
Oxidative stress response,curated,2026-09-08,PA0848,---,probable alkyl hydroperoxide reductase ,PA0848_at,,
Oxidative stress response,curated,2026-09-08,PA2532,tpx,thiol peroxidase ,PA2532_tpx_at,,
Oxidative stress response,curated,2026-09-08,PA1008,bcp,bacterioferritin comigratory protein ,PA1008_bcp_at,,
Oxidative stress response,curated,2026-09-08,PA5240,trxA,thioredoxin ,PA5240_trxA_at,,
Oxidative stress response,curated,2026-09-08,PA2616,trxB1,thioredoxin reductase 1 ,PA2616_trxB1_at,,
Oxidative stress response,curated,2026-09-08,PA0849,trxB2,thioredoxin reductase 2 ,PA0849_trxB2_at,,
Oxidative stress response,curated,2026-09-08,PA4061,---,probable thioredoxin ,PA4061_at,,
Oxidative stress response,curated,2026-09-08,PA2694,---,probable thioredoxin ,PA2694_at,,
Oxidative stress response,curated,2026-09-08,PA0953,---,probable thioredoxin ,PA0953_at,,
Oxidative stress response,curated,2026-09-08,PA2025,gor,glutathione reductase ,PA2025_gor_at,,
Oxidative stress response,curated,2026-09-08,PA0407,gshB,glutathione synthetase ,PA0407_gshB_at,,
Oxidative stress response,curated,2026-09-08,PA1287,---,probable glutathione peroxidase ,PA1287_at,,
Oxidative stress response,curated,2026-09-08,PA2826,---,probable glutathione peroxidase ,PA2826_at,,
Oxidative stress response,curated,2026-09-08,PA0838,---,probable glutathione peroxidase ,PA0838_at,,
Oxidative stress response,curated,2026-09-08,PA0140,ahpF,alkyl hydroperoxide reductase subunit F ,PA0140_ahpF_at,,
Oxidative stress response,curated,2026-09-08,PA3529,---,probable peroxidase ,PA3529_at,,
Oxidative stress response,curated,2026-09-08,PA5344,---,probable transcriptional regulator ,PA5344_at,,
Anaerobic respiration,curated,2026-09-08,PA3875,narG,respiratory nitrate reductase alpha chain ,PA3875_narG_at,,
Anaerobic respiration,curated,2026-09-08,PA3874,narH,respiratory nitrate reductase beta chain ,PA3874_narH_at,,
Anaerobic respiration,curated,2026-09-08,PA3872,narI,respiratory nitrate reductase gamma chain ,PA3872_narI_at,,
Anaerobic respiration,curated,2026-09-08,PA3873,narJ,respiratory nitrate reductase delta chain ,PA3873_narJ_at,,
Anaerobic respiration,curated,2026-09-08,PA1174,napA,periplasmic nitrate reductase protein NapA ,PA1174_napA_at,,
Anaerobic respiration,curated,2026-09-08,PA1175,napD,NapD protein of periplasmic nitrate reductase ,PA1175_napD_at,,
Anaerobic respiration,curated,2026-09-08,PA1177,napE,periplasmic nitrate reductase protein NapE ,PA1177_napE_at,,
Anaerobic respiration,curated,2026-09-08,PA0519,nirS,nitrite reductase precursor ,PA0519_nirS_at,,
Anaerobic respiration,curated,2026-09-08,PA0524,norB,nitric-oxide reductase subunit B ,PA0524_norB_at,,
Anaerobic respiration,curated,2026-09-08,PA0523,norC,nitric-oxide reductase subunit C ,PA0523_norC_at,,
Anaerobic respiration,curated,2026-09-08,PA3392,nosZ,nitrous-oxide reductase precursor ,PA3392_nosZ_at,,
Anaerobic respiration,curated,2026-09-08,PA1544,anr,transcriptional regulator Anr ,PA1544_anr_at,,
Anaerobic respiration,curated,2026-09-08,PA0527,dnr,transcriptional regulator Dnr ,PA0527_dnr_at,,
Oxidative stress response,curated,2026-09-08,PA4587,ccpR,cytochrome c551 peroxidase precursor ,PA4587_ccpR_at,,
Oxidative stress response,curated,2026-09-08,PA4468,sodM,superoxide dismutase ,PA4468_sodM_at,,
Oxidative stress response,curated,2026-09-08,PA4366,sodB,superoxide dismutase ,PA4366_sodB_at,,
Oxidative stress response,curated,2026-09-08,PA4236,katA,catalase ,PA4236_katA_at,,
Oxidative stress response,curated,2026-09-08,PA4613,katB,catalase ,PA4613_katB_at,,
Oxidative stress response,curated,2026-09-08,PA2147,katE,catalase HPII ,PA2147_katE_at,,
Oxidative stress response,curated,2026-09-08,PA2185,katN,hypothetical protein ,PA2185_at,,
Anaerobic respiration,curated,2026-09-08,PA0291,oprE,outer membrane porin OprE precursor ,PA0291_oprE_at,,
Iron uptake and storage,curated,2026-09-08,PA3531,bfrB,bacterioferritin ,PA3531_bfrB_at,,
Iron uptake and storage,curated,2026-09-08,PA4235,bfrA,bacterioferritin ,PA4235_bfrA_at,,
Iron uptake and storage,curated,2026-09-08,PA4764,fur,ferric uptake regulation protein ,PA4764_fur_at,,
Iron uptake and storage,curated,2026-09-08,PA5505,---,probable TonB-dependent receptor ,PA5505_at,,
Iron uptake and storage,curated,2026-09-08,PA4880,---,probable bacterioferritin ,PA4880_at,,
Oxidative stress response,curated,2026-09-08,PA0139,ahpC,alkyl hydroperoxide reductase subunit C ,PA0139_ahpC_at,,
Iron uptake and storage,curated,2026-09-08,PA2335,---,probable TonB-dependent receptor ,PA2335_at,,
Iron uptake and storage,curated,2026-09-08,PA4675,---,probable TonB-dependent receptor ,PA4675_at,,
Motility,PseudoCAP,2026-09-08,PA2407,---,probable adhesion protein ,PA2407_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA0649,trpG,anthranilate synthase component II ,PA0649_trpG_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA4930,alr,biosynthetic alanine racemase ,PA4930_alr_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA4602,glyA3,serine hydroxymethyltransferase ,PA4602_glyA3_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA4151,acoB,acetoin catabolism protein AcoB ,PA4151_acoB_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA0932,cysM,cysteine synthase B ,PA0932_cysM_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA2716,---,probable FMN oxidoreductase ,PA2716_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA0927,ldhA,D-lactate dehydrogenase (fermentative) ,PA0927_ldhA_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA0662,argC,N-acetyl-gamma-glutamyl-phosphate reductase ,PA0662_argC_at,,
Motility,PseudoCAP,2026-09-08,PA0173,---,probable methylesterase ,PA0173_at,,
Motility,PseudoCAP,2026-09-08,PA2128,cupA1,probable fimbrial protein (precursor) ,PA2128_at,,
Motility,PseudoCAP,2026-09-08,PA1087,flgL,flagellar hook-associated protein type 3 FlgL ,PA1087_flgL_at,,
Motility,PseudoCAP,2026-09-08,PA0175,---,probable chemotaxis protein methyltransferase ,PA0175_at,,
Motility,PseudoCAP,2026-09-08,PA0176,---,probable chemotaxis transducer ,PA0176_at,,
Motility,PseudoCAP,2026-09-08,PA1086,flgK,flagellar hook-associated protein 1 FlgK ,PA1086_flgK_at,,
Motility,PseudoCAP,2026-09-08,PA3702,wspR,probable two-component response regulator ,PA3702_at,,
Motility,PseudoCAP,2026-09-08,PA4525,pilA,type 4 fimbrial precursor PilA ,PA4525_pilA_at,,
Motility,PseudoCAP,2026-09-08,PA1104,fliI,flagellum-specific ATP synthase FliI ,PA1104_fliI_at,,
Motility,PseudoCAP,2026-09-08,PA0415,chpC,probable chemotaxis protein ,PA0415_at,,
Motility,PseudoCAP,2026-09-08,PA2920,---,probable chemotaxis transducer ,PA2920_at,,
Motility,PseudoCAP,2026-09-08,PA4520,---,probable chemotaxis transducer ,PA4520_at,,
Motility,PseudoCAP,2026-09-08,PA1459,---,probable methyltransferase ,PA1459_at,,
Motility,PseudoCAP,2026-09-08,PA1092,fliC,flagellin type B ,PA1092_fliC_at,,
Motility,PseudoCAP,2026-09-08,PA1102,fliG,flagellar motor switch protein FliG ,PA1102_fliG_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA0227,---,"probable CoA transferase, subunit B ",PA0227_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA1932,---,probable hydroxylase molybdopterin-containing subunit ,PA1932_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA1812,mltD,membrane-bound lytic murein transglycosylase D precursor ,PA1812_mltD_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA1983,exaB,cytochrome c550 ,PA1983_exaB_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA1687,speE,spermidine synthase ,PA1687_speE_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA2253,ansA,L-asparaginase I ,PA2253_ansA_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA3107,metZ,o-succinylhomoserine sulfhydrylase ,PA3107_metZ_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA2509,catB,muconate cycloisomerase I ,PA2509_catB_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA5332,crc,catabolite repression control protein ,PA5332_crc_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA0589,---,conserved hypothetical protein ,PA0589_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA3491,---,probable ferredoxin ,PA3491_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA0152,pcaQ,transcriptional regulator PcaQ ,PA0152_pcaQ_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA4439,trpS,tryptophanyl-tRNA synthetase ,PA4439_trpS_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA3814,iscS,L-cysteine desulfurase (pyridoxal phosphate-dependent) ,PA3814_iscS_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA0226,---,"probable CoA transferase, subunit A ",PA0226_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA3013,foaB,fatty-acid oxidation complex beta-subunit ,PA3013_foaB_at,,
Motility,PseudoCAP,2026-09-08,PA2654,---,probable chemotaxis transducer ,PA2654_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA2516,xylZ,"toluate 1,2-dioxygenase electron transfer component ",PA2516_xylZ_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA3152,hisH2,glutamine amidotransferase ,PA3152_hisH2_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA3700,lysS,lysyl-tRNA synthetase ,PA3700_lysS_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA5304,dadA,"D-amino acid dehydrogenase, small subunit ",PA5304_dadA_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA0228,pcaF,beta-ketoadipyl CoA thiolase PcaF ,PA0228_pcaF_at,,
