pathway,ontology,frozen,locus,symbol,description,probe,added_rev3,reason
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA4356,xenB,xenobiotic reductase ,PA4356_xenB_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA1319,cyoC,cytochrome o ubiquinol oxidase subunit III ,PA1319_cyoC_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA5399,---,probable ferredoxin ,PA5399_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA1818,---,probable Orn,PA1818_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA3751,purT,phosphoribosylglycinamide formyltransferase 2 ,PA3751_purT_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA3621,fdxA,ferredoxin I ,PA3621_fdxA_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA2086,---,probable epoxide hydrolase ,PA2086_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA1317,cyoA,cytochrome o ubiquinol oxidase subunit II ,PA1317_cyoA_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA0432,sahH,S-adenosyl-L-homocysteine hydrolase ,PA0432_sahH_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA2644,nuoI,NADH Dehydrogenase I chain I ,PA2644_nuoI_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA5351,rubA1,rubredoxin ,PA5351_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA0297,spuA,probable glutamine amidotransferase ,PA0297_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA3183,zwf,glucose-6-phosphate 1-dehydrogenase ,PA3183_zwf_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA5416,soxB,sarcosine oxidase beta subunit ,PA5416_soxB_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA3935,tauD,taurine dioxygenase ,PA3935_tauD_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA1581,sdhC,succinate dehydrogenase (C subunit) ,PA1581_sdhC_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA5016,aceF,dihydrolipoamide acetyltransferase ,PA5016_aceF_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA0899,aruB,succinylarginine dihydrolase ,PA0899_aruB_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA3193,glk,glucokinase ,PA3193_glk_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA0430,metF,"5,10-methylenetetrahydrofolate reductase ",PA0430_metF_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA4133,---,cytochrome c oxidase subunit (cbb3-type) ,PA4133_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA1583,sdhA,succinate dehydrogenase (A subunit) ,PA1583_sdhA_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA0399,---,cystathionine beta-synthase ,PA0399_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA5355,glcD,glycolate oxidase subunit GlcD ,PA5355_glcD_at,,
