ID_REF,logFC,t,P.Value,adj.P.Val,locus,sig
PA2239_at,-0.23713748484999986,-1.4061753653276587,0.21867210930491499,0.6137219032331511,PA2239,False
PA2240_at,0.1711941578999996,0.9502407640715892,0.38562639076890487,0.7627205968461171,PA2240,False
PA2241_at,0.08462009304999896,0.5311181657397378,0.6180741486135156,0.8840952051428437,PA2241,False
PA2242_at,0.010674136549999602,0.06821816158728229,0.9482560104070575,0.988547172961496,PA2242,False
PA2243_at,-0.1715281188000013,-1.1107563613392388,0.3172126399465582,0.7115524385386591,PA2243,False
PA2244_at,0.03289744195000033,0.14444395645306068,0.8907915418538479,0.9743911940813509,PA2244,False
PA2245_at,0.04672700239999994,0.2535036966946223,0.8099727223630966,0.9567528484505693,PA2245,False
PA2246_bkdR_at,0.04561584564999954,0.26474369614779647,0.8017739709903656,0.9547965555015031,PA2246,False
PA2247_bkdA1_at,0.8311863561499999,4.767458605963369,0.005026103303955398,0.0772418904623537,PA2247,False
PA2248_bkdA2_at,0.79310836255,4.860928163472136,0.004629393694734998,0.07410154332455908,PA2248,False
PA2249_bkdB_at,0.11583208344999996,0.5145555297237274,0.628792750959674,0.8884273619661383,PA2249,False
PA2250_lpdV_at,0.4805540036999991,2.600536985629303,0.048218130318804626,0.28413576991756434,PA2250,False
PA2251_at,-0.1556145724000002,-0.8975762663730704,0.4105453387630459,0.7815232419014515,PA2251,False
PA2252_at,0.22052463514999987,1.4063284712707529,0.21862933745062632,0.6137219032331511,PA2252,False
PA2253_ansA_at,0.11231934949999989,0.6710210821387395,0.5319527200410533,0.8495240691935472,PA2253,False
PA2254_pvcA_at,0.3257845340500003,1.96730759317175,0.10628945631787742,0.4311873772171364,PA2254,False
PA2255_pvcB_at,0.11753763355000046,0.5971621292928581,0.5764108816089148,0.8694911453485579,PA2255,False
PA2256_pvcC_at,0.2507444677499997,1.3525705249982545,0.2341417792940503,0.6306106896114232,PA2256,False
PA2257_pvcD_at,0.09567206744999979,0.5755562309423093,0.5898474027152749,0.8759445710736805,PA2257,False
PA2258_ptxR_at,0.1729736325500002,1.1017637328491108,0.32075254878316417,0.7154840942772229,PA2258,False
PA2259_ptxS_at,1.5295373271500017,6.120828645256238,0.001688242285429432,0.04055915955933729,PA2259,True
PA2260_at,0.8711259253000003,3.6819928372336768,0.014263981240361509,0.14347636337461722,PA2260,False
PA2261_at,0.9514130670499998,3.0863590192542483,0.027271926721873715,0.20850453625008547,PA2261,False
PA2262_at,0.37169501185000087,1.6737615340031196,0.15503331583019525,0.5184807369184825,PA2262,False
PA2263_at,0.5149662743500008,1.5297116596023834,0.18663956634759638,0.5706807727386765,PA2263,False
PA2264_at,0.1471171667500002,0.5167686190718229,0.6273544389511826,0.8884163678287991,PA2264,False
PA2265_at,-0.2663897836999993,-1.2416304732463281,0.26944008244616235,0.666879128600975,PA2265,False
PA2266_at,-0.35558119490000006,-1.8653289783064153,0.12113836290860285,0.46210006745303717,PA2266,False
PA2267_at,0.09836279835000017,0.6209570716062668,0.5618361958457876,0.8631485328685342,PA2267,False
PA2268_at,0.09162669680000013,0.5670881278879579,0.5951654930813649,0.8780042610613032,PA2268,False
PA2269_at,0.15318825489999988,0.8279719195526679,0.44539385380627894,0.8013892766037469,PA2269,False
PA2270_at,-0.1592137577999999,-0.5719912581006786,0.5920827238055584,0.8766293557209281,PA2270,False
PA2271_i_at,0.020646186949999645,0.09011917293338699,0.9316912355630502,0.9847818379182003,PA2271,False
PA2272_pbpC_at,0.12128592165000018,0.7778895380253065,0.4718199244873851,0.8199051532180511,PA2272,False
PA2273_at,0.3231211346500009,1.9884814003457922,0.10345054868575296,0.4256670163300111,PA2273,False
PA2274_at,1.831273187199999,5.437975105757325,0.002853462852505965,0.05488719722173238,PA2274,False
PA2275_at,0.15181345354999998,0.9790094769497851,0.372536866073486,0.752969129749159,PA2275,False
PA2276_at,-0.3057568862500002,-1.8467239108839115,0.12407021333767572,0.46601912303295095,PA2276,False
PA2277_arsR_at,0.009017755700000407,0.040620869634596,0.9691702657608486,0.9937324481559858,PA2277,False
PA2278_arsB_at,-0.02989111745000006,-0.16070469433198048,0.8786171652786888,0.9713567895581238,PA2278,False
PA2279_arsC_at,0.06766620495000009,0.43940776205795473,0.6787074561343355,0.910405918332983,PA2279,False
PA2280_at,-0.1129481220500006,-0.6296988469310859,0.5565413125462433,0.8620532014861021,PA2280,False
PA2281_at,-0.03921842469999959,-0.16960843590184443,0.8719667860853834,0.9710349744482906,PA2281,False
PA2282_at,0.0705075021499999,0.4040390197539131,0.7028857643551911,0.9219928867228585,PA2282,False
PA2283_at,0.20079275159999987,0.9105394947064677,0.4042962251977458,0.7767703335080576,PA2283,False
PA2284_at,0.09618463890000006,0.4981110283570857,0.6395383973517498,0.894474220434925,PA2284,False
PA2285_at,-0.1250843769500003,-0.7315462325560748,0.4972754139668901,0.8329451599421382,PA2285,False
PA2286_at,-0.08371821189999995,-0.5442692259184725,0.6096391750783069,0.8818717582971035,PA2286,False
PA2287_at,0.0079067144999998,0.051006264919422,0.9612954981605991,0.990231939477299,PA2287,False
PA2288_r_at,0.31014117484999915,1.9787228907288177,0.10474899393276138,0.42793606092736924,PA2288,False
PA2289_at,0.028745148000000498,0.18007960750421895,0.8641610261580445,0.968743750798087,PA2289,False
PA2290_gcd_at,0.1212373959000006,0.7715417860051486,0.47524986615892806,0.8226575523032424,PA2290,False
PA2292_at,0.30139564775000016,1.8489861290476028,0.12370987290208062,0.46585931133902353,PA2292,False
PA2293_at,0.28182255640000076,1.5742700925516269,0.17623967983073766,0.5520738453878243,PA2293,False
PA2294_at,0.2990027556000001,1.9377683585290912,0.11038598766515163,0.44011233207229944,PA2294,False
PA2295_at,0.0664750297000003,0.4198023612230466,0.6920582777284505,0.9170317475708374,PA2295,False
PA2296_at,-0.09997703530000024,-0.5206016361790762,0.6248677505028041,0.887327280931123,PA2296,False
PA2297_at,1.2119299653500004,6.679189175743426,0.0011367255023101359,0.032032943214722734,PA2297,True
